"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"152";202304;2;29;290720;"A";132600;1;622505;101;"Médio Completo";26;"44,00";6;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"153";202304;2;29;290720;"A";132600;1;622515;101;"6ª a 9ª Fundamental";42;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"154";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";39;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"155";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";18;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"156";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";49;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"157";202304;2;26;260875;"A";132600;1;622515;101;"Até 5ª Incompleto";50;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"158";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";37;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";6;0
"159";202304;2;26;261110;"A";132600;1;622505;101;"Até 5ª Incompleto";20;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";6;0
"160";202304;2;26;261110;"A";132600;1;622020;105;"6ª a 9ª Fundamental";25;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"161";202304;2;29;290720;"A";132600;1;621005;101;"Fundamental Completo";19;"44,00";2;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"162";202304;2;29;290720;"A";132600;1;622515;101;"Médio Incompleto";22;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"163";202304;2;29;290720;"A";132600;1;622515;101;"6ª a 9ª Fundamental";30;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"164";202304;2;29;291840;"A";132600;1;411005;103;"Fundamental Completo";18;"20,00";1;"Masculino";2;3;97;0;0;0;"5,92";7;1
"165";202304;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";46;"48,00";1;"Feminino";2;3;97;0;0;0;"1302,00";5;0
"166";202304;2;29;291840;"A";132600;1;622515;101;"Médio Incompleto";46;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"167";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";22;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";8;0
"168";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";29;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"169";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";19;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";6;0
"170";202304;2;26;261110;"A";132600;1;621005;101;"Médio Completo";18;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";4;0
"171";202304;2;29;291840;"A";132600;1;622515;101;"Fundamental Completo";29;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"172";202304;2;29;290720;"A";132600;1;621005;101;"Médio Incompleto";39;"44,00";3;"Feminino";0;1;97;0;0;0;"1340,00";9;0
"173";202304;2;29;291840;"A";132600;1;643005;101;"6ª a 9ª Fundamental";36;"44,00";1;"Masculino";0;1;97;0;0;0;"1311,40";3;0
"174";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";20;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"175";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";20;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";7;0
"176";202304;2;29;290720;"A";132600;1;622505;101;"Fundamental Completo";39;"44,00";6;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"177";202304;2;29;290720;"A";132600;1;621005;101;"Até 5ª Incompleto";32;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
